qt5-declarative 5.6.0-1
qt5-location 5.6.0-1
qt5-sensors 5.6.0-1
qt5-tools 5.6.0-2
qt5-webchannel 5.6.0-1
qt5-webkit 5.6.0-2
qt5-xmlpatterns 5.6.0-1
qtchooser 53-2
qutebrowser 0.6.0-2
randrproto 1.5.0-1
ranger 1.7.2-1
readline 6.3.008-3
recode 3.6-8
recordproto 1.14.2-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.7.93-1
rofi 0.15.12-1
rsync 3.1.2-1
rtkit 0.11-5
rtmpdump 1:2.4.r96.fa8646d-2
run-parts 4.7-1
rxvt-unicode-256xresources 9.22-1
rxvt-unicode-terminfo 9.22-1
s-nail 14.8.8-1
sbc 1.3-1
schroedinger 1.0.11-3
screenfetch 3.7.0-1
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl2 2.0.4-2
sdl_image 1.2.12-3
sed 4.2.2-3
semver 5.1.0-1
shadow 4.2.1-3
shared-color-targets 0.1.5-1
shared-mime-info 1.5-1
sip 4.17-1
slang 2.3.0-1
smbclient 4.4.0-1
snappy 1.1.3-2
sound-theme-freedesktop 0.8-2
soundtouch 1.9.0-3
spandsp 0.0.6-1
speech-dispatcher 0.8.3-6
speex 1.2rc2-1
speexdsp 1.2rc3-2
spotify-stable 0.9.17-6
sqlite 3.12.0-1
stalonetray 0.8.3-1
startup-notification 0.12-4
steam 1.0.0.52-2
stow 2.2.2-1
sublime-text 2.0.2-4
sudo 1.8.16-1
sushi 3.18.0-2
sutils-git 34-1
sxhkd 0.5.6-1
sxiv 1.3.2-2
sysfsutils 2.1.0-9
systemd 229-3
systemd-sysvcompat 229-3
t1lib 5.1.2-5
taglib 1.10-3
talloc 2.1.6-1
tar 1.28-1
tdb 1.3.8-1
telepathy-farstream 0.6.2-2
telepathy-glib 0.24.1-1
telepathy-logger 0.8.2-1
telepathy-mission-control 5.16.3-1
terminator 0.98-1
terminus-font 4.40-2
tevent 0.9.28-1
texinfo 6.1-1
thin-provisioning-tools 0.6.1-2
tint2 0.12.8-1
tinyxml 2.6.2-4
tmux 2.1-2
totem 3.18.1-1
totem-plparser 3.10.6-1
tracker 1.6.1-3
transmission-gtk 2.92-1
tre 0.8.0-4
tslib 1.1-1
ttf-bitstream-vera 1.10-10
ttf-dejavu 2.35-1
tzdata 2016c-1
udisks2 2.1.7-1
unibilium 1.2.0-1
unzip 6.0-11
upower 0.99.4-2
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.27.1-1
v4l-utils 1.10.0-1
vi 1:070224-2
vicious 2.1.3-2
vid.stab 1.1-1
videoproto 2.3.3-1
vifm 0.8.1-1
vino 3.18.1-1
virtualbox-guest-dkms 5.0.16-3
virtualbox-guest-utils 5.0.16-3
vlc 2.2.2-3
vsftpd 3.0.3-2
vte 0.28.2-7
vte-common 0.42.5-1
vte3 0.42.5-1
wavpack 4.75.2-1
wayland 1.10.0-1
webkit2gtk 2.10.9-1
webkitgtk 2.4.10-1
webrtc-audio-processing 0.1-3
weechat 1.4-1
wget 1.17.1-1
which 2.21-1
wildmidi 0.3.8-1
wireless_tools 30.pre9-1
wmutils-git 1.1.r6.g23253bf-1
wpa_supplicant 1:2.5-3
x265 1.9-1
xapian-core 1:1.2.22-1
xbitmaps 1.1.1-3
xcb-proto 1.11-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.2-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xdg-user-dirs 0.15-2
xdg-user-dirs-gtk 0.10-2
xdg-utils 1.1.1-1
xdo-git 0.r39.c9bca7f-1
xextproto 7.3.0-1
xf86-input-evdev 2.10.1-3
xf86-input-keyboard 1.8.1-2
xf86-input-mouse 1.9.1-2
xf86-input-synaptics 1.8.3-2
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfce4-settings 4.12.0-3
xfconf 4.12.0-2
xfsprogs 4.3.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.17-2
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.3-1
xorg-server-common 1.18.3-1
xorg-server-utils 7.6-4
xorg-server-xwayland 1.18.3-1
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xdpyinfo 1.3.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xmessage 1.0.4-2
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xproto 7.0.28-1
xterm 324-1
xtitle-git 24-1
xvidcore 1.3.4-1
xz 5.2.2-1
yabar-git 0.4.0.r0.g746387f-1
yajl 2.1.0-1
yaourt 1.8.1-1
yelp 3.18.1-1
yelp-xsl 3.18.1-1
yumi-bin 0.0.1-1
zeitgeist 0.9.16-1
zenity 3.18.1.1-1
zeromq 4.1.4-1
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1.2.8-4
zsh 5.2-1
zvbi 0.2.35-1
